#,Project,Sponsor,TOC Presentation,Accepted,Year Accepted,Stage,CLA,Governance,Security Disclosure,Security Audit,CoC,Slack,Github URL
1,Kubernetes,Alexis Richardson,N/A,3/10/16,2016,Graduation,Yes,Yes,Yes,Now on third,Yes,https://kubernetes.slack.com/,Netlify
2,Prometheus,Alexis Richardson,3/4/16,5/9/16,2016,Graduation,No - DCO,Yes,Yes,"Yes, cure53",Yes,IRC,Netlify
3,OpenTracing,Bryan Cantrill,8/17/16,10/11/16,2016,Incubation,No,Yes,No,No,Yes,CNCF,Netlify
4,Fluentd,Brian Grant,8/3/16,11/8/16,2016,Graduation,No - DCO,Yes,No,No,Yes,https://slack.fluentd.org/,Heroku
5,Linkerd,Jonathan Boulle,10/5/16,1/23/17,2017,Graduation,No - DCO,Yes,No,No,Yes,https://linkerd.slack.com/,Netlify
6,gRPC,Brian Grant,10/19/16,2/16/17,2017,Incubation,Yes,Yes,No,No,Yes,https://gitter.im/grpc/grpc,Netlify
7,CoreDNS,Jonathan Boulle,8/17/16,2/27/17,2017,Graduation,No,Yes,"Yes, email address",Cure53,Yes,CNCF,Netlify
8,containerd,Brian Grant,3/15/17,3/25/17,2017,Graduation,No - DCO,Yes,"Yes, email address",No,Yes,CNCF,Netlify
9,rkt,Brian Grant,3/15/17,3/25/17,2017,Archived,No - DCO,No,"Yes, email address",No,Yes,N/A,Company site
10,CNI,Kenneth Owens,5/4/17,5/23/17,2017,Incubation,No - DCO,Yes,No,No,Yes,N/A,GitHub repo
11,Envoy,Alexis Richardson,8/15/17,9/13/17,2017,Graduation,No - DCO ,Yes,"Yes, email address","Yes, Cure53",Yes,https://envoyproxy.slack.com/,Netlify
12,Jaeger,Bryan Cantrill,8/1/17,9/13/17,2017,Graduation,No  - DCO,Yes,Yes,"Yes, Cure53",Yes,gitter.im/jaegertracing ,Netlify
13,TUF,Solomon Hykes,6/20/17,10/24/17,2017,Graduation,,,,,,N/A,Netlify
14,Notary,Solomon Hykes,6/20/17,10/24/17,2017,Incubation,No - Docker's DCO,Yes,No,NCC/Cure53,Yes,,GitHub repo
15,rook,Ben Hindman,6/6/17,1/29/18,2018,Graduation,No - DCO,Yes,No,No,Yes,https://rook-io.slack.com/#/,Netlify
16,Vitess,Brian Grant,4/19/17,2/5/18,2018,Graduation,No - DCO,Yes,Email to maintainer's list,No,Yes,https://vitess.slack.com/,Netlify
17,NATS,Alexis Richardson,9/21/16,3/15/18,2018,Incubation,No,Yes,No,Yes,Yes,https://natsio.slack.com/#/,"Netlify (site), GitBook (docs)"
